idHistory,Code,Description,Duration,userId,OperatorComment,BegindateTime,IdPrevious,EndDateTime,Pieces,Rejections
1660270,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,667,siderca\60062524,"CPT,CPA,GSR,GA15,GA12,CFC,GFC,GDS,CDT",2025-04-07 18:34:13.3544544 -03:00,1660218,2025-04-07 16:39:20.6211177 -03:00,10,0
1660441,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,1011.597,siderca\60062291,"CPT,CPA,GSR,GA15,GA12,GFC,GDS",2025-04-07 23:41:19.0627703 -03:00,1660270,2025-04-07 18:45:20.3544544 -03:00,15,1
1660485,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,458,siderca\60062291,"GA15,GA12",2025-04-08 01:13:05.3813874 -03:00,1660441,2025-04-07 23:58:10.6590790 -03:00,7,0
1660556,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,840.914,siderca\60062291,"CPT,CPA,GSR,CA15,GA15,GA12,GFC,GDS",2025-04-08 02:36:50.8791421 -03:00,1660485,2025-04-08 01:20:43.3813874 -03:00,11,1
1660597,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,323,siderca\60062291,"GA15,GA12",2025-04-08 04:07:48.2037649 -03:00,1660556,2025-04-08 02:50:51.7933277 -03:00,8,1
1660652,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,804,siderca\60062567,"CPT,CPA,CSR,GA15,GA12,CFC,GDS,CDT,GH",2025-04-08 05:26:26.1557993 -03:00,1660597,2025-04-08 04:13:11.2037649 -03:00,8,0
1660695,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,369.903,siderca\60062567,"CA15,GH",2025-04-08 07:02:29.2411299 -03:00,1660652,2025-04-08 05:39:50.1557993 -03:00,11,0
1660739,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,510.327,siderca\60062567,"CPA,GA15,GA12,CFC,GDS,CDT,GH",2025-04-08 09:18:43.6380569 -03:00,1660695,2025-04-08 07:08:39.1440368 -03:00,11,0
1660768,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,524.674,siderca\60062567,"CPT,CSR,GA15,GA12,GH",2025-04-08 10:34:38.8231004 -03:00,1660739,2025-04-08 09:27:13.9659724 -03:00,8,0
1660819,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,689.745,siderca\60062567,"CPA,GA15,GA12,CFC,GDS,CDT,GH",2025-04-08 12:23:36.6807621 -03:00,1660768,2025-04-08 10:43:23.4977656 -03:00,12,0
1660871,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,407.809,siderca\60062291,"GA15,GA12",2025-04-08 13:44:33.1291696 -03:00,1660819,2025-04-08 12:35:06.4254219 -03:00,10,0
1660926,26,26-CAMBIO DE HERRAMIENTAS DEBIDO A DESGASTE,919.595,siderca\11915,"CPT,CPA,GSR,CA15,GA15,GA12,CFC,GFC,GDS",2025-04-08 15:18:52.4503980 -03:00,1660871,2025-04-08 13:51:20.9386882 -03:00,9,1
